HAID,FID,HID,NR,ZEIT_ANKUFT,ZEIT_ABFAHRT
1018004006001,1018004006,10193,1,,10:30:00
1018004006002,1018004006,10204,2,10:30:19,10:30:49
1018004006003,1018004006,10208,3,10:31:49,10:32:19
1018004006004,1018004006,10179,4,10:33:16,10:33:46
1018004006005,1018004006,10320,5,10:34:43,10:35:13
1018004006006,1018004006,10264,6,10:36:07,10:36:37
1018004006007,1018004006,10201,7,10:37:19,10:37:49
1018004006008,1018004006,10216,8,10:38:44,10:39:14
1018004006009,1018004006,10255,9,10:39:45,10:40:15
1018004006010,1018004006,10164,10,10:40:57,10:41:27
1018004006011,1018004006,10257,11,10:42:04,10:42:34
1018004006012,1018004006,10305,12,10:43:01,10:43:31
1018004006013,1018004006,10145,13,10:46:18,
1018004007001,1018004007,10193,1,,10:36:00
1018004007002,1018004007,10204,2,10:36:19,10:36:49
1018004007003,1018004007,10208,3,10:37:49,10:38:19
1018004007004,1018004007,10179,4,10:39:16,10:39:46
1018004007005,1018004007,10320,5,10:40:43,10:41:13
1018004007006,1018004007,10264,6,10:42:07,10:42:37
1018004007007,1018004007,10201,7,10:43:19,10:43:49
1018004007008,1018004007,10216,8,10:44:44,10:45:14
1018004007009,1018004007,10255,9,10:45:45,10:46:15
1018004007010,1018004007,10164,10,10:46:57,10:47:27
1018004007011,1018004007,10257,11,10:48:04,10:48:34
1018004007012,1018004007,10305,12,10:49:01,10:49:31
1018004007013,1018004007,10145,13,10:52:18,
1018004008001,1018004008,10193,1,,10:42:00
1018004008002,1018004008,10204,2,10:42:19,10:42:49
1018004008003,1018004008,10208,3,10:43:49,10:44:19
1018004008004,1018004008,10179,4,10:45:16,10:45:46
1018004008005,1018004008,10320,5,10:46:43,10:47:13
1018004008006,1018004008,10264,6,10:48:07,10:48:37
1018004008007,1018004008,10201,7,10:49:19,10:49:49
1018004008008,1018004008,10216,8,10:50:44,10:51:14
1018004008009,1018004008,10255,9,10:51:45,10:52:15
1018004008010,1018004008,10164,10,10:52:57,10:53:27
1018004008011,1018004008,10257,11,10:54:04,10:54:34
1018004008012,1018004008,10305,12,10:55:01,10:55:31
1018004008013,1018004008,10145,13,10:58:18,
1018004009001,1018004009,10193,1,,10:48:00
1018004009002,1018004009,10204,2,10:48:19,10:48:49
1018004009003,1018004009,10208,3,10:49:49,10:50:19
1018004009004,1018004009,10179,4,10:51:16,10:51:46
1018004009005,1018004009,10320,5,10:52:43,10:53:13
1018004009006,1018004009,10264,6,10:54:07,10:54:37
1018004009007,1018004009,10201,7,10:55:19,10:55:49
1018004009008,1018004009,10216,8,10:56:44,10:57:14
1018004009009,1018004009,10255,9,10:57:45,10:58:15
1018004009010,1018004009,10164,10,10:58:57,10:59:27
1018004009011,1018004009,10257,11,11:00:04,11:00:34
1018004009012,1018004009,10305,12,11:01:01,11:01:31
1018004009013,1018004009,10145,13,11:04:18,
1018004010001,1018004010,10193,1,,10:54:00
1018004010002,1018004010,10204,2,10:54:19,10:54:49
1018004010003,1018004010,10208,3,10:55:49,10:56:19
1018004010004,1018004010,10179,4,10:57:16,10:57:46
1018004010005,1018004010,10320,5,10:58:43,10:59:13
1018004010006,1018004010,10264,6,11:00:07,11:00:37
1018004010007,1018004010,10201,7,11:01:19,11:01:49
1018004010008,1018004010,10216,8,11:02:44,11:03:14
1018004010009,1018004010,10255,9,11:03:45,11:04:15
1018004010010,1018004010,10164,10,11:04:57,11:05:27
1018004010011,1018004010,10257,11,11:06:04,11:06:34
1018004010012,1018004010,10305,12,11:07:01,11:07:31
1018004010013,1018004010,10145,13,11:10:18,
1018004011001,1018004011,10193,1,,11:00:00
1018004011002,1018004011,10204,2,11:00:19,11:00:49
1018004011003,1018004011,10208,3,11:01:49,11:02:19
1018004011004,1018004011,10179,4,11:03:16,11:03:46
1018004011005,1018004011,10320,5,11:04:43,11:05:13
1018004011006,1018004011,10264,6,11:06:07,11:06:37
1018004011007,1018004011,10201,7,11:07:19,11:07:49
1018004011008,1018004011,10216,8,11:08:44,11:09:14
1018004011009,1018004011,10255,9,11:09:45,11:10:15
1018004011010,1018004011,10164,10,11:10:57,11:11:27
1018004011011,1018004011,10257,11,11:12:04,11:12:34
1018004011012,1018004011,10305,12,11:13:01,11:13:31
1018004011013,1018004011,10145,13,11:16:18,
1018004012001,1018004012,10193,1,,11:06:00
1018004012002,1018004012,10204,2,11:06:19,11:06:49
1018004012003,1018004012,10208,3,11:07:49,11:08:19
1018004012004,1018004012,10179,4,11:09:16,11:09:46
1018004012005,1018004012,10320,5,11:10:43,11:11:13
1018004012006,1018004012,10264,6,11:12:07,11:12:37
1018004012007,1018004012,10201,7,11:13:19,11:13:49
1018004012008,1018004012,10216,8,11:14:44,11:15:14
1018004012009,1018004012,10255,9,11:15:45,11:16:15
1018004012010,1018004012,10164,10,11:16:57,11:17:27
1018004012011,1018004012,10257,11,11:18:04,11:18:34
1018004012012,1018004012,10305,12,11:19:01,11:19:31
1018004012013,1018004012,10145,13,11:22:18,
1018004013001,1018004013,10193,1,,11:12:00
1018004013002,1018004013,10204,2,11:12:19,11:12:49
1018004013003,1018004013,10208,3,11:13:49,11:14:19
1018004013004,1018004013,10179,4,11:15:16,11:15:46
1018004013005,1018004013,10320,5,11:16:43,11:17:13
1018004013006,1018004013,10264,6,11:18:07,11:18:37
1018004013007,1018004013,10201,7,11:19:19,11:19:49
1018004013008,1018004013,10216,8,11:20:44,11:21:14
1018004013009,1018004013,10255,9,11:21:45,11:22:15
1018004013010,1018004013,10164,10,11:22:57,11:23:27
1018004013011,1018004013,10257,11,11:24:04,11:24:34
1018004013012,1018004013,10305,12,11:25:01,11:25:31
1018004013013,1018004013,10145,13,11:28:18,
1018004014001,1018004014,10193,1,,11:18:00
1018004014002,1018004014,10204,2,11:18:19,11:18:49
1018004014003,1018004014,10208,3,11:19:49,11:20:19
1018004014004,1018004014,10179,4,11:21:16,11:21:46
1018004014005,1018004014,10320,5,11:22:43,11:23:13
1018004014006,1018004014,10264,6,11:24:07,11:24:37
1018004014007,1018004014,10201,7,11:25:19,11:25:49
1018004014008,1018004014,10216,8,11:26:44,11:27:14
1018004014009,1018004014,10255,9,11:27:45,11:28:15
1018004014010,1018004014,10164,10,11:28:57,11:29:27
1018004014011,1018004014,10257,11,11:30:04,11:30:34
1018004014012,1018004014,10305,12,11:31:01,11:31:31
1018004014013,1018004014,10145,13,11:34:18,
1018004015001,1018004015,10193,1,,11:24:00
1018004015002,1018004015,10204,2,11:24:19,11:24:49
1018004015003,1018004015,10208,3,11:25:49,11:26:19
1018004015004,1018004015,10179,4,11:27:16,11:27:46
1018004015005,1018004015,10320,5,11:28:43,11:29:13
1018004015006,1018004015,10264,6,11:30:07,11:30:37
1018004015007,1018004015,10201,7,11:31:19,11:31:49
1018004015008,1018004015,10216,8,11:32:44,11:33:14
1018004015009,1018004015,10255,9,11:33:45,11:34:15
1018004015010,1018004015,10164,10,11:34:57,11:35:27
1018004015011,1018004015,10257,11,11:36:04,11:36:34
1018004015012,1018004015,10305,12,11:37:01,11:37:31
1018004015013,1018004015,10145,13,11:40:18,
1018004016001,1018004016,10193,1,,11:30:00
1018004016002,1018004016,10204,2,11:30:19,11:30:49
1018004016003,1018004016,10208,3,11:31:49,11:32:19
1018004016004,1018004016,10179,4,11:33:16,11:33:46
1018004016005,1018004016,10320,5,11:34:43,11:35:13
1018004016006,1018004016,10264,6,11:36:07,11:36:37
1018004016007,1018004016,10201,7,11:37:19,11:37:49
1018004016008,1018004016,10216,8,11:38:44,11:39:14
1018004016009,1018004016,10255,9,11:39:45,11:40:15
1018004016010,1018004016,10164,10,11:40:57,11:41:27
1018004016011,1018004016,10257,11,11:42:04,11:42:34
1018004016012,1018004016,10305,12,11:43:01,11:43:31
1018004016013,1018004016,10145,13,11:46:18,
1018004017001,1018004017,10193,1,,11:36:00
1018004017002,1018004017,10204,2,11:36:19,11:36:49
1018004017003,1018004017,10208,3,11:37:49,11:38:19
1018004017004,1018004017,10179,4,11:39:16,11:39:46
1018004017005,1018004017,10320,5,11:40:43,11:41:13
1018004017006,1018004017,10264,6,11:42:07,11:42:37
1018004017007,1018004017,10201,7,11:43:19,11:43:49
1018004017008,1018004017,10216,8,11:44:44,11:45:14
1018004017009,1018004017,10255,9,11:45:45,11:46:15
1018004017010,1018004017,10164,10,11:46:57,11:47:27
1018004017011,1018004017,10257,11,11:48:04,11:48:34
1018004017012,1018004017,10305,12,11:49:01,11:49:31
1018004017013,1018004017,10145,13,11:52:18,
1018004018001,1018004018,10193,1,,11:42:00
1018004018002,1018004018,10204,2,11:42:19,11:42:49
1018004018003,1018004018,10208,3,11:43:49,11:44:19
1018004018004,1018004018,10179,4,11:45:16,11:45:46
1018004018005,1018004018,10320,5,11:46:43,11:47:13
1018004018006,1018004018,10264,6,11:48:07,11:48:37
1018004018007,1018004018,10201,7,11:49:19,11:49:49
1018004018008,1018004018,10216,8,11:50:44,11:51:14
1018004018009,1018004018,10255,9,11:51:45,11:52:15
1018004018010,1018004018,10164,10,11:52:57,11:53:27
1018004018011,1018004018,10257,11,11:54:04,11:54:34
1018004018012,1018004018,10305,12,11:55:01,11:55:31
1018004018013,1018004018,10145,13,11:58:18,
1018004019001,1018004019,10193,1,,11:48:00
1018004019002,1018004019,10204,2,11:48:19,11:48:49
1018004019003,1018004019,10208,3,11:49:49,11:50:19
1018004019004,1018004019,10179,4,11:51:16,11:51:46
1018004019005,1018004019,10320,5,11:52:43,11:53:13
1018004019006,1018004019,10264,6,11:54:07,11:54:37
1018004019007,1018004019,10201,7,11:55:19,11:55:49
1018004019008,1018004019,10216,8,11:56:44,11:57:14
1018004019009,1018004019,10255,9,11:57:45,11:58:15
1018004019010,1018004019,10164,10,11:58:57,11:59:27
1018004019011,1018004019,10257,11,12:00:04,12:00:34
1018004019012,1018004019,10305,12,12:01:01,12:01:31
1018004019013,1018004019,10145,13,12:04:18,
1018004020001,1018004020,10193,1,,11:54:00
1018004020002,1018004020,10204,2,11:54:19,11:54:49
1018004020003,1018004020,10208,3,11:55:49,11:56:19
1018004020004,1018004020,10179,4,11:57:16,11:57:46
1018004020005,1018004020,10320,5,11:58:43,11:59:13
1018004020006,1018004020,10264,6,12:00:07,12:00:37
1018004020007,1018004020,10201,7,12:01:19,12:01:49
1018004020008,1018004020,10216,8,12:02:44,12:03:14
1018004020009,1018004020,10255,9,12:03:45,12:04:15
1018004020010,1018004020,10164,10,12:04:57,12:05:27
1018004020011,1018004020,10257,11,12:06:04,12:06:34
1018004020012,1018004020,10305,12,12:07:01,12:07:31
1018004020013,1018004020,10145,13,12:10:18,
1018004021001,1018004021,10193,1,,12:00:00
1018004021002,1018004021,10204,2,12:00:19,12:00:49
1018004021003,1018004021,10208,3,12:01:49,12:02:19
1018004021004,1018004021,10179,4,12:03:16,12:03:46
1018004021005,1018004021,10320,5,12:04:43,12:05:13
1018004021006,1018004021,10264,6,12:06:07,12:06:37
1018004021007,1018004021,10201,7,12:07:19,12:07:49
1018004021008,1018004021,10216,8,12:08:44,12:09:14
1018004021009,1018004021,10255,9,12:09:45,12:10:15
1018004021010,1018004021,10164,10,12:10:57,12:11:27
1018004021011,1018004021,10257,11,12:12:04,12:12:34
1018004021012,1018004021,10305,12,12:13:01,12:13:31
1018004021013,1018004021,10145,13,12:16:18,
1019001001001,1019001001,10170,1,,10:00:00
1019001001002,1019001001,10295,2,10:00:48,10:01:18
1019001001003,1019001001,10219,3,10:02:20,10:02:50
1019001001004,1019001001,10243,4,10:03:39,10:04:09
1019001001005,1019001001,10278,5,10:05:00,10:05:30
1019001001006,1019001001,10222,6,10:06:37,10:07:07
1019001001007,1019001001,10260,7,10:07:46,10:08:16
1019001001008,1019001001,10216,8,10:08:57,10:09:27
1019001001009,1019001001,10246,9,10:10:19,10:10:49
1019001001010,1019001001,10264,10,10:11:30,10:12:00
1019001001011,1019001001,10320,11,10:12:54,10:13:24
1019001001012,1019001001,10187,12,10:13:53,10:14:23
1019001001013,1019001001,10303,13,10:15:04,10:15:34
1019001001014,1019001001,10229,14,10:16:10,10:16:40
1019001001015,1019001001,10209,15,10:17:31,10:18:01
1019001001016,1019001001,10152,16,10:19:22,10:19:52
1019001001017,1019001001,10291,17,10:20:45,10:21:15
1019001001018,1019001001,10198,18,10:21:59,10:22:29
1019001001019,1019001001,10277,19,10:23:37,10:24:07
1019001001020,1019001001,10203,20,10:25:00,10:25:30
1019001001021,1019001001,10213,21,10:26:32,10:27:02
1019001001022,1019001001,10268,22,10:28:00,10:28:30
1019001001023,1019001001,10266,23,10:29:38,10:30:08
1019001001024,1019001001,10244,24,10:31:31,
1019001002001,1019001002,10170,1,,10:05:00
1019001002002,1019001002,10295,2,10:05:48,10:06:18
1019001002003,1019001002,10219,3,10:07:20,10:07:50
1019001002004,1019001002,10243,4,10:08:39,10:09:09
1019001002005,1019001002,10278,5,10:10:00,10:10:30
1019001002006,1019001002,10222,6,10:11:37,10:12:07
1019001002007,1019001002,10260,7,10:12:46,10:13:16
1019001002008,1019001002,10216,8,10:13:57,10:14:27
1019001002009,1019001002,10246,9,10:15:19,10:15:49
1019001002010,1019001002,10264,10,10:16:30,10:17:00
1019001002011,1019001002,10320,11,10:17:54,10:18:24
1019001002012,1019001002,10187,12,10:18:53,10:19:23
1019001002013,1019001002,10303,13,10:20:04,10:20:34
1019001002014,1019001002,10229,14,10:21:10,10:21:40
1019001002015,1019001002,10209,15,10:22:31,10:23:01
1019001002016,1019001002,10152,16,10:24:22,10:24:52
1019001002017,1019001002,10291,17,10:25:45,10:26:15
1019001002018,1019001002,10198,18,10:26:59,10:27:29
1019001002019,1019001002,10277,19,10:28:37,10:29:07
1019001002020,1019001002,10203,20,10:30:00,10:30:30
1019001002021,1019001002,10213,21,10:31:32,10:32:02
1019001002022,1019001002,10268,22,10:33:00,10:33:30
1019001002023,1019001002,10266,23,10:34:38,10:35:08
1019001002024,1019001002,10244,24,10:36:31,
1019001003001,1019001003,10170,1,,10:10:00
1019001003002,1019001003,10295,2,10:10:48,10:11:18
1019001003003,1019001003,10219,3,10:12:20,10:12:50
1019001003004,1019001003,10243,4,10:13:39,10:14:09
1019001003005,1019001003,10278,5,10:15:00,10:15:30
1019001003006,1019001003,10222,6,10:16:37,10:17:07
1019001003007,1019001003,10260,7,10:17:46,10:18:16
1019001003008,1019001003,10216,8,10:18:57,10:19:27
1019001003009,1019001003,10246,9,10:20:19,10:20:49
1019001003010,1019001003,10264,10,10:21:30,10:22:00
1019001003011,1019001003,10320,11,10:22:54,10:23:24
1019001003012,1019001003,10187,12,10:23:53,10:24:23
1019001003013,1019001003,10303,13,10:25:04,10:25:34
1019001003014,1019001003,10229,14,10:26:10,10:26:40
1019001003015,1019001003,10209,15,10:27:31,10:28:01
1019001003016,1019001003,10152,16,10:29:22,10:29:52
1019001003017,1019001003,10291,17,10:30:45,10:31:15
1019001003018,1019001003,10198,18,10:31:59,10:32:29
1019001003019,1019001003,10277,19,10:33:37,10:34:07
1019001003020,1019001003,10203,20,10:35:00,10:35:30
1019001003021,1019001003,10213,21,10:36:32,10:37:02
1019001003022,1019001003,10268,22,10:38:00,10:38:30
1019001003023,1019001003,10266,23,10:39:38,10:40:08
1019001003024,1019001003,10244,24,10:41:31,
1019001004001,1019001004,10170,1,,10:15:00
1019001004002,1019001004,10295,2,10:15:48,10:16:18
1019001004003,1019001004,10219,3,10:17:20,10:17:50
1019001004004,1019001004,10243,4,10:18:39,10:19:09
1019001004005,1019001004,10278,5,10:20:00,10:20:30
1019001004006,1019001004,10222,6,10:21:37,10:22:07
1019001004007,1019001004,10260,7,10:22:46,10:23:16
1019001004008,1019001004,10216,8,10:23:57,10:24:27
1019001004009,1019001004,10246,9,10:25:19,10:25:49
1019001004010,1019001004,10264,10,10:26:30,10:27:00
1019001004011,1019001004,10320,11,10:27:54,10:28:24
1019001004012,1019001004,10187,12,10:28:53,10:29:23
1019001004013,1019001004,10303,13,10:30:04,10:30:34
1019001004014,1019001004,10229,14,10:31:10,10:31:40
1019001004015,1019001004,10209,15,10:32:31,10:33:01
1019001004016,1019001004,10152,16,10:34:22,10:34:52
1019001004017,1019001004,10291,17,10:35:45,10:36:15
1019001004018,1019001004,10198,18,10:36:59,10:37:29
1019001004019,1019001004,10277,19,10:38:37,10:39:07
1019001004020,1019001004,10203,20,10:40:00,10:40:30
1019001004021,1019001004,10213,21,10:41:32,10:42:02
1019001004022,1019001004,10268,22,10:43:00,10:43:30
1019001004023,1019001004,10266,23,10:44:38,10:45:08
1019001004024,1019001004,10244,24,10:46:31,
1019001005001,1019001005,10170,1,,10:20:00
1019001005002,1019001005,10295,2,10:20:48,10:21:18
1019001005003,1019001005,10219,3,10:22:20,10:22:50
1019001005004,1019001005,10243,4,10:23:39,10:24:09
1019001005005,1019001005,10278,5,10:25:00,10:25:30
1019001005006,1019001005,10222,6,10:26:37,10:27:07
1019001005007,1019001005,10260,7,10:27:46,10:28:16
1019001005008,1019001005,10216,8,10:28:57,10:29:27
1019001005009,1019001005,10246,9,10:30:19,10:30:49
1019001005010,1019001005,10264,10,10:31:30,10:32:00
1019001005011,1019001005,10320,11,10:32:54,10:33:24
1019001005012,1019001005,10187,12,10:33:53,10:34:23
1019001005013,1019001005,10303,13,10:35:04,10:35:34
1019001005014,1019001005,10229,14,10:36:10,10:36:40
1019001005015,1019001005,10209,15,10:37:31,10:38:01
1019001005016,1019001005,10152,16,10:39:22,10:39:52
1019001005017,1019001005,10291,17,10:40:45,10:41:15
1019001005018,1019001005,10198,18,10:41:59,10:42:29
1019001005019,1019001005,10277,19,10:43:37,10:44:07
1019001005020,1019001005,10203,20,10:45:00,10:45:30
1019001005021,1019001005,10213,21,10:46:32,10:47:02
1019001005022,1019001005,10268,22,10:48:00,10:48:30
1019001005023,1019001005,10266,23,10:49:38,10:50:08
1019001005024,1019001005,10244,24,10:51:31,
1019001006001,1019001006,10170,1,,10:25:00
1019001006002,1019001006,10295,2,10:25:48,10:26:18
1019001006003,1019001006,10219,3,10:27:20,10:27:50
1019001006004,1019001006,10243,4,10:28:39,10:29:09
1019001006005,1019001006,10278,5,10:30:00,10:30:30
1019001006006,1019001006,10222,6,10:31:37,10:32:07
1019001006007,1019001006,10260,7,10:32:46,10:33:16
1019001006008,1019001006,10216,8,10:33:57,10:34:27
1019001006009,1019001006,10246,9,10:35:19,10:35:49
1019001006010,1019001006,10264,10,10:36:30,10:37:00
1019001006011,1019001006,10320,11,10:37:54,10:38:24
1019001006012,1019001006,10187,12,10:38:53,10:39:23
1019001006013,1019001006,10303,13,10:40:04,10:40:34
1019001006014,1019001006,10229,14,10:41:10,10:41:40
1019001006015,1019001006,10209,15,10:42:31,10:43:01
1019001006016,1019001006,10152,16,10:44:22,10:44:52
1019001006017,1019001006,10291,17,10:45:45,10:46:15
1019001006018,1019001006,10198,18,10:46:59,10:47:29
1019001006019,1019001006,10277,19,10:48:37,10:49:07
1019001006020,1019001006,10203,20,10:50:00,10:50:30
1019001006021,1019001006,10213,21,10:51:32,10:52:02
1019001006022,1019001006,10268,22,10:53:00,10:53:30
1019001006023,1019001006,10266,23,10:54:38,10:55:08
1019001006024,1019001006,10244,24,10:56:31,
1019001007001,1019001007,10170,1,,10:30:00
1019001007002,1019001007,10295,2,10:30:48,10:31:18
1019001007003,1019001007,10219,3,10:32:20,10:32:50
1019001007004,1019001007,10243,4,10:33:39,10:34:09
1019001007005,1019001007,10278,5,10:35:00,10:35:30
1019001007006,1019001007,10222,6,10:36:37,10:37:07
1019001007007,1019001007,10260,7,10:37:46,10:38:16
1019001007008,1019001007,10216,8,10:38:57,10:39:27
1019001007009,1019001007,10246,9,10:40:19,10:40:49
1019001007010,1019001007,10264,10,10:41:30,10:42:00
1019001007011,1019001007,10320,11,10:42:54,10:43:24
1019001007012,1019001007,10187,12,10:43:53,10:44:23
1019001007013,1019001007,10303,13,10:45:04,10:45:34
1019001007014,1019001007,10229,14,10:46:10,10:46:40
1019001007015,1019001007,10209,15,10:47:31,10:48:01
1019001007016,1019001007,10152,16,10:49:22,10:49:52
1019001007017,1019001007,10291,17,10:50:45,10:51:15
1019001007018,1019001007,10198,18,10:51:59,10:52:29
1019001007019,1019001007,10277,19,10:53:37,10:54:07
1019001007020,1019001007,10203,20,10:55:00,10:55:30
1019001007021,1019001007,10213,21,10:56:32,10:57:02
1019001007022,1019001007,10268,22,10:58:00,10:58:30
1019001007023,1019001007,10266,23,10:59:38,11:00:08
1019001007024,1019001007,10244,24,11:01:31,
1019001008001,1019001008,10170,1,,10:35:00
1019001008002,1019001008,10295,2,10:35:48,10:36:18
1019001008003,1019001008,10219,3,10:37:20,10:37:50
1019001008004,1019001008,10243,4,10:38:39,10:39:09
1019001008005,1019001008,10278,5,10:40:00,10:40:30
1019001008006,1019001008,10222,6,10:41:37,10:42:07
1019001008007,1019001008,10260,7,10:42:46,10:43:16
1019001008008,1019001008,10216,8,10:43:57,10:44:27
1019001008009,1019001008,10246,9,10:45:19,10:45:49
1019001008010,1019001008,10264,10,10:46:30,10:47:00
1019001008011,1019001008,10320,11,10:47:54,10:48:24
1019001008012,1019001008,10187,12,10:48:53,10:49:23
1019001008013,1019001008,10303,13,10:50:04,10:50:34
1019001008014,1019001008,10229,14,10:51:10,10:51:40
1019001008015,1019001008,10209,15,10:52:31,10:53:01
1019001008016,1019001008,10152,16,10:54:22,10:54:52
1019001008017,1019001008,10291,17,10:55:45,10:56:15
1019001008018,1019001008,10198,18,10:56:59,10:57:29
1019001008019,1019001008,10277,19,10:58:37,10:59:07
1019001008020,1019001008,10203,20,11:00:00,11:00:30
1019001008021,1019001008,10213,21,11:01:32,11:02:02
1019001008022,1019001008,10268,22,11:03:00,11:03:30
1019001008023,1019001008,10266,23,11:04:38,11:05:08
1019001008024,1019001008,10244,24,11:06:31,
1019001009001,1019001009,10170,1,,10:40:00
1019001009002,1019001009,10295,2,10:40:48,10:41:18
1019001009003,1019001009,10219,3,10:42:20,10:42:50
1019001009004,1019001009,10243,4,10:43:39,10:44:09
1019001009005,1019001009,10278,5,10:45:00,10:45:30
1019001009006,1019001009,10222,6,10:46:37,10:47:07
1019001009007,1019001009,10260,7,10:47:46,10:48:16
1019001009008,1019001009,10216,8,10:48:57,10:49:27
1019001009009,1019001009,10246,9,10:50:19,10:50:49
1019001009010,1019001009,10264,10,10:51:30,10:52:00
1019001009011,1019001009,10320,11,10:52:54,10:53:24
1019001009012,1019001009,10187,12,10:53:53,10:54:23
1019001009013,1019001009,10303,13,10:55:04,10:55:34
1019001009014,1019001009,10229,14,10:56:10,10:56:40
1019001009015,1019001009,10209,15,10:57:31,10:58:01
1019001009016,1019001009,10152,16,10:59:22,10:59:52
1019001009017,1019001009,10291,17,11:00:45,11:01:15
1019001009018,1019001009,10198,18,11:01:59,11:02:29
1019001009019,1019001009,10277,19,11:03:37,11:04:07
1019001009020,1019001009,10203,20,11:05:00,11:05:30
1019001009021,1019001009,10213,21,11:06:32,11:07:02
1019001009022,1019001009,10268,22,11:08:00,11:08:30
1019001009023,1019001009,10266,23,11:09:38,11:10:08
1019001009024,1019001009,10244,24,11:11:31,
1019001010001,1019001010,10170,1,,10:45:00
1019001010002,1019001010,10295,2,10:45:48,10:46:18
1019001010003,1019001010,10219,3,10:47:20,10:47:50
1019001010004,1019001010,10243,4,10:48:39,10:49:09
1019001010005,1019001010,10278,5,10:50:00,10:50:30
1019001010006,1019001010,10222,6,10:51:37,10:52:07
1019001010007,1019001010,10260,7,10:52:46,10:53:16
1019001010008,1019001010,10216,8,10:53:57,10:54:27
1019001010009,1019001010,10246,9,10:55:19,10:55:49
1019001010010,1019001010,10264,10,10:56:30,10:57:00
1019001010011,1019001010,10320,11,10:57:54,10:58:24
1019001010012,1019001010,10187,12,10:58:53,10:59:23
1019001010013,1019001010,10303,13,11:00:04,11:00:34
1019001010014,1019001010,10229,14,11:01:10,11:01:40
1019001010015,1019001010,10209,15,11:02:31,11:03:01
1019001010016,1019001010,10152,16,11:04:22,11:04:52
1019001010017,1019001010,10291,17,11:05:45,11:06:15
1019001010018,1019001010,10198,18,11:06:59,11:07:29
1019001010019,1019001010,10277,19,11:08:37,11:09:07
1019001010020,1019001010,10203,20,11:10:00,11:10:30
1019001010021,1019001010,10213,21,11:11:32,11:12:02
1019001010022,1019001010,10268,22,11:13:00,11:13:30
1019001010023,1019001010,10266,23,11:14:38,11:15:08
1019001010024,1019001010,10244,24,11:16:31,
1019001011001,1019001011,10170,1,,10:50:00
1019001011002,1019001011,10295,2,10:50:48,10:51:18
1019001011003,1019001011,10219,3,10:52:20,10:52:50
1019001011004,1019001011,10243,4,10:53:39,10:54:09
1019001011005,1019001011,10278,5,10:55:00,10:55:30
1019001011006,1019001011,10222,6,10:56:37,10:57:07
1019001011007,1019001011,10260,7,10:57:46,10:58:16
1019001011008,1019001011,10216,8,10:58:57,10:59:27
1019001011009,1019001011,10246,9,11:00:19,11:00:49
1019001011010,1019001011,10264,10,11:01:30,11:02:00
1019001011011,1019001011,10320,11,11:02:54,11:03:24
1019001011012,1019001011,10187,12,11:03:53,11:04:23
1019001011013,1019001011,10303,13,11:05:04,11:05:34
1019001011014,1019001011,10229,14,11:06:10,11:06:40
1019001011015,1019001011,10209,15,11:07:31,11:08:01
1019001011016,1019001011,10152,16,11:09:22,11:09:52
1019001011017,1019001011,10291,17,11:10:45,11:11:15
1019001011018,1019001011,10198,18,11:11:59,11:12:29
1019001011019,1019001011,10277,19,11:13:37,11:14:07
1019001011020,1019001011,10203,20,11:15:00,11:15:30
1019001011021,1019001011,10213,21,11:16:32,11:17:02
1019001011022,1019001011,10268,22,11:18:00,11:18:30
1019001011023,1019001011,10266,23,11:19:38,11:20:08
1019001011024,1019001011,10244,24,11:21:31,
1019001012001,1019001012,10170,1,,10:55:00
1019001012002,1019001012,10295,2,10:55:48,10:56:18
1019001012003,1019001012,10219,3,10:57:20,10:57:50
1019001012004,1019001012,10243,4,10:58:39,10:59:09
1019001012005,1019001012,10278,5,11:00:00,11:00:30
1019001012006,1019001012,10222,6,11:01:37,11:02:07
1019001012007,1019001012,10260,7,11:02:46,11:03:16
1019001012008,1019001012,10216,8,11:03:57,11:04:27
1019001012009,1019001012,10246,9,11:05:19,11:05:49
1019001012010,1019001012,10264,10,11:06:30,11:07:00
1019001012011,1019001012,10320,11,11:07:54,11:08:24
1019001012012,1019001012,10187,12,11:08:53,11:09:23
1019001012013,1019001012,10303,13,11:10:04,11:10:34
1019001012014,1019001012,10229,14,11:11:10,11:11:40
1019001012015,1019001012,10209,15,11:12:31,11:13:01
1019001012016,1019001012,10152,16,11:14:22,11:14:52
1019001012017,1019001012,10291,17,11:15:45,11:16:15
1019001012018,1019001012,10198,18,11:16:59,11:17:29
1019001012019,1019001012,10277,19,11:18:37,11:19:07
1019001012020,1019001012,10203,20,11:20:00,11:20:30
1019001012021,1019001012,10213,21,11:21:32,11:22:02
1019001012022,1019001012,10268,22,11:23:00,11:23:30
1019001012023,1019001012,10266,23,11:24:38,11:25:08
1019001012024,1019001012,10244,24,11:26:31,
1019001013001,1019001013,10170,1,,11:00:00
1019001013002,1019001013,10295,2,11:00:48,11:01:18
1019001013003,1019001013,10219,3,11:02:20,11:02:50
1019001013004,1019001013,10243,4,11:03:39,11:04:09
1019001013005,1019001013,10278,5,11:05:00,11:05:30
1019001013006,1019001013,10222,6,11:06:37,11:07:07
1019001013007,1019001013,10260,7,11:07:46,11:08:16
1019001013008,1019001013,10216,8,11:08:57,11:09:27
1019001013009,1019001013,10246,9,11:10:19,11:10:49
1019001013010,1019001013,10264,10,11:11:30,11:12:00
1019001013011,1019001013,10320,11,11:12:54,11:13:24
1019001013012,1019001013,10187,12,11:13:53,11:14:23
